,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,9.819333744049072,1.7018148109606854,0.13453888893127441,0.04160370101706956,0.05,500,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.8010152284263959,0.8081218274111676,0.7896341463414634,0.7967479674796748,0.7936991869918699,0.7978436713301142,0.006347800953693652,1
27,2.3563475131988527,0.10742512514400034,0.04003052711486817,0.0031558599756951414,0.1,100,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7959390862944162,0.8050761421319796,0.7896341463414634,0.7967479674796748,0.7987804878048781,0.7972355660104824,0.004971148966461505,2
33,9.214628458023071,1.8981674835246647,0.11480002403259278,0.029858221114754415,0.1,500,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7979695431472081,0.8071065989847716,0.7886178861788617,0.7947154471544715,0.7977642276422764,0.797234740621518,0.0059811520438804965,3
18,4.611189365386963,0.1221618605078256,0.06829700469970704,0.002878879191997599,0.05,200,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7949238578680203,0.8060913705583757,0.7886178861788617,0.7967479674796748,0.7987804878048781,0.7970323139779621,0.005664832797906042,4
30,4.668576955795288,0.15840268177304315,0.07125444412231445,0.007015585594336371,0.1,200,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.8,0.8060913705583757,0.7886178861788617,0.7957317073170732,0.7936991869918699,0.7968280302092362,0.005903709266888848,5
24,1.173029851913452,0.023484588309232283,0.018453407287597656,0.001017248707008844,0.1,50,mle,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7959390862944162,0.7928934010152284,0.7845528455284553,0.7916666666666666,0.7947154471544715,0.7919534893318476,0.003981171286958053,6
12,1.1700426578521728,0.061035761525758986,0.017637252807617188,0.0008656486850787447,0.05,50,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7918781725888325,0.7878172588832487,0.7845528455284553,0.7876016260162602,0.801829268292683,0.790735834261896,0.006015644748392701,7
0,1.175848913192749,0.06351770758433277,0.029864168167114256,0.013860964890384258,0.01,50,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7928934010152284,0.7908629441624365,0.7774390243902439,0.7926829268292683,0.7997967479674797,0.7907350088729312,0.007312560799396898,8
6,4.670557737350464,0.05655902894771158,0.07248706817626953,0.005887298195966359,0.01,200,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7918781725888325,0.7898477157360406,0.7804878048780488,0.7876016260162602,0.8028455284552846,0.7905321695348934,0.007257773154358383,9
15,2.3486047744750977,0.06463232849802525,0.03645191192626953,0.003999509126456491,0.05,100,mle,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7949238578680203,0.7928934010152284,0.7815040650406504,0.7886178861788617,0.7947154471544715,0.7905309314514465,0.005050411785654886,10
9,11.207330322265625,0.527559893782046,0.17078938484191894,0.04000041465010959,0.01,500,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.7959390862944162,0.7928934010152284,0.7804878048780488,0.790650406504065,0.7926829268292683,0.7905307251042053,0.005297908092749224,11
3,2.3499340534210207,0.08216805988001503,0.03509588241577148,0.003534994149280687,0.01,100,mle,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7928934010152284,0.7898477157360406,0.7774390243902439,0.7886178861788617,0.7997967479674797,0.7897189550575708,0.007261744229252848,12
36,1.123081922531128,0.012322979444026957,0.017635917663574217,0.0014715425593974567,1.0,50,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 'mle'}",0.7796954314720812,0.7918781725888325,0.7865853658536586,0.7794715447154471,0.7865853658536586,0.7848431760967356,0.004709890112500977,13
39,2.2956143856048583,0.08853872146349769,0.035191679000854494,0.002349328368084916,1.0,100,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 'mle'}",0.7888324873096447,0.782741116751269,0.7855691056910569,0.7784552845528455,0.7845528455284553,0.7840301679666543,0.0034189112401086445,14
42,4.395107936859131,0.35637927979899403,0.062660551071167,0.008493162910260822,1.0,200,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 'mle'}",0.7939086294416243,0.7928934010152284,0.7815040650406504,0.7754065040650406,0.7764227642276422,0.7840270727580372,0.007934257621394917,15
45,10.496760368347168,0.3134821317264135,0.1287087917327881,0.01777839575429263,1.0,500,mle,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 'mle'}",0.783756345177665,0.7705583756345178,0.7733739837398373,0.7855691056910569,0.7764227642276422,0.7779361148941438,0.005825322936128061,16
40,0.0020098209381103514,0.0007043140092948835,0.0,0.0,1.0,100,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
29,0.0012015819549560547,0.0003989142376805106,0.0,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
44,0.0015040874481201173,0.0010994819395383714,0.0,0.0,1.0,200,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
31,0.003107929229736328,0.0008079448181511907,0.0,0.0,0.1,200,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
34,0.00162353515625,0.0007338793045074404,0.0,0.0,0.1,500,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
43,0.0013050079345703126,0.0004002215762994581,0.0,0.0,1.0,200,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
41,0.0013985633850097656,0.0007994180432439216,0.0,0.0,1.0,100,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
35,0.002105855941772461,0.0017563550226942207,0.0,0.0,0.1,500,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
28,0.0019068241119384766,0.0011211911392727122,0.0,0.0,0.1,100,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
38,0.0018128395080566407,0.0009395166416934042,0.0,0.0,1.0,50,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
32,0.0017076969146728516,0.0008809535409771855,0.0,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
37,0.0022058963775634767,0.0017540173044153478,0.0,0.0,1.0,50,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
23,0.0019039630889892579,0.0004920753716817351,0.0,0.0,0.05,500,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
25,0.0018002986907958984,0.0007471862077613653,0.0,0.0,0.1,50,50,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
1,0.0023998260498046876,0.000971730714962022,0.0,0.0,0.01,50,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
2,0.0024053573608398436,0.0014009467219719544,0.0,0.0,0.01,50,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
4,0.0023051738739013673,0.0003998876099508987,0.0,0.0,0.01,100,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
5,0.0022027015686035155,0.0011665205731701698,0.0,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
7,0.0020017623901367188,3.870907543678742e-06,0.0,0.0,0.01,200,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
8,0.002308177947998047,0.0007539283663042851,0.0,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
10,0.0017032623291015625,0.00040027473170966643,0.0,0.0,0.01,500,50,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
26,0.0013067245483398438,0.0003989232717826004,0.0,0.0,0.1,50,100,"{'model__learning_rate': 0.1, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
11,0.0013071537017822266,0.00040844070128564483,0.0,0.0,0.01,500,100,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
14,0.002207183837890625,0.0008201820431540055,0.0,0.0,0.05,50,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 100}",,,,,,,,17
16,0.002013492584228516,0.0005355140165150034,0.0,0.0,0.05,100,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 50}",,,,,,,,17
17,0.0021036148071289064,0.00048629214029677223,0.0,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 100, 'pca__n_components': 100}",,,,,,,,17
19,0.0014038562774658203,0.000493056063914314,0.0,0.0,0.05,200,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 50}",,,,,,,,17
20,0.0012060165405273437,0.0002488171565141008,0.0,0.0,0.05,200,100,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'pca__n_components': 100}",,,,,,,,17
22,0.0012699127197265624,0.0003872399405880489,0.0,0.0,0.05,500,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
46,0.0025058269500732424,0.0008920932337291843,0.0,0.0,1.0,500,50,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 50}",,,,,,,,17
13,0.001999950408935547,0.0008951634722618033,0.0,0.0,0.05,50,50,"{'model__learning_rate': 0.05, 'model__n_estimators': 50, 'pca__n_components': 50}",,,,,,,,17
47,0.002204275131225586,0.0009792572147724376,0.0,0.0,1.0,500,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 500, 'pca__n_components': 100}",,,,,,,,17
